Age (Ma),Atlantic,Pacific,Gradient
0.0,4.851935483870968,10.845625000000002,5.993689516129034
0.3,4.474516129032258,8.876875,4.402358870967742
0.6,4.097096774193549,9.974137931034482,5.877041156840933
0.8999999999999999,3.7196774193548388,10.545714285714284,6.826036866359446
1.2,3.414,10.955918367346937,7.541918367346938
1.5,3.710689655172414,11.10468085106383,7.393991195891415
1.7999999999999998,3.603913043478261,11.095952380952381,7.49203933747412
2.1,3.4082608695652175,11.574523809523809,8.166262939958592
2.4,3.4570588235294117,12.1,8.642941176470588
2.6999999999999997,3.6688235294117644,12.653157894736841,8.984334365325077
3.0,3.6866666666666665,12.294736842105264,8.608070175438598
3.3,3.2599999999999993,13.25030303030303,9.99030303030303
3.5999999999999996,4.137499999999998,14.35142857142857,10.213928571428571
3.9,3.7699999999999996,13.91,10.14
4.2,3.772340425531915,13.373783783783784,9.601443358251869
4.5,3.746808510638298,13.576486486486486,9.829677975848188
4.8,3.62,13.536382978723404,9.916382978723405
5.1,3.4680000000000013,13.291159420289857,9.823159420289855
5.3999999999999995,2.9875000000000003,12.721594202898551,9.73409420289855
5.7,3.763333333333333,12.216153846153846,8.452820512820512
6.0,3.4666666666666663,12.771578947368422,9.304912280701755
6.3,3.5653333333333332,12.409999999999998,8.844666666666665
6.6,3.6008988764044947,11.850117647058823,8.249218770654329
6.8999999999999995,3.607640449438202,11.776,8.168359550561798
7.199999999999999,3.61438202247191,11.701882352941176,8.087500330469267
7.5,3.749166666666666,11.627764705882353,7.878598039215687
7.8,3.6091666666666664,11.553647058823529,7.944480392156862
8.1,3.783000000000002,11.479529411764705,7.696529411764703
8.4,3.39,11.405411764705882,8.015411764705881
8.7,3.78333333333333,11.33129411764706,7.54796078431373
9.0,3.996666666666667,11.257176470588236,7.260509803921569
9.299999999999999,4.436666666666654,10.090000000000009,5.653333333333355
9.6,3.7311111111111126,8.770789473684212,5.0396783625731
9.9,3.6792307692307706,8.222333333333333,4.543102564102563
10.2,4.6924999999999955,8.10851851851852,3.4160185185185252
10.5,4.976666666666667,8.042307692307693,3.0656410256410265
10.799999999999999,5.026666666666666,7.993076923076924,2.9664102564102572
11.1,5.076666666666666,7.757692307692308,2.6810256410256414
11.4,4.7316666666666665,7.2057142857142855,2.474047619047619
11.7,4.410000000000003,7.761428571428571,3.351428571428568
12.0,4.382499999999998,8.618648648648646,4.236148648648649
12.299999999999999,4.436734693877552,9.06454545454547,4.627810760667918
